Date,Time,Hour,Day,Day_Number,Month,Month_Number,Latitude,Longitude,Area,Crime_Type,Crime_Count,Weather,Population_Density
2026-08-04,11:38,11,Tuesday,2,August,8,12.976802,77.641657,Indiranagar,Vehicle Theft,3,Rainy,Medium
2025-09-01,12:26,12,Monday,1,September,9,12.919263,77.598293,Jayanagar,Vehicle Theft,4,Sunny,Low
2026-08-08,05:58,5,Saturday,6,August,8,12.920307,77.479415,Kengeri,Missing Person,5,Partly Cloudy,Low
2025-07-11,08:29,8,Friday,5,July,7,12.935048,77.624133,Koramangala,Assault,9,Partly Cloudy,Very High
2025-08-22,13:21,13,Friday,5,August,8,12.986784,77.560733,Rajajinagar,Robbery,5,Partly Cloudy,Medium
2025-05-29,16:48,16,Thursday,4,May,5,13.042881,77.59519,Hebbal,Accident,6,Rainy,Very High
2025-10-02,01:17,1,Thursday,4,October,10,13.000812,77.573089,Malleshwaram,Cyber Crime,9,Partly Cloudy,Very High
2025-10-10,21:54,21,Friday,5,October,10,13.030292,77.602644,Hebbal,Missing Person,6,Sunny,Very High
2025-01-09,17:47,17,Thursday,4,January,1,12.983816,77.559367,Rajajinagar,Vandalism,7,Sunny,Very High
2026-01-29,18:07,18,Thursday,4,January,1,12.847878,77.665289,Electronic City,Cyber Crime,4,Rainy,High
2026-04-06,05:10,5,Monday,1,April,4,12.84722,77.655129,Electronic City,Accident,2,Sunny,Low
2026-12-27,06:37,6,Sunday,7,December,12,12.969007,77.753689,Whitefield,Accident,4,Rainy,Low
2025-03-03,08:44,8,Monday,1,March,3,13.029661,77.534745,Yeshwanthpur,Theft,7,Sunny,High
2025-08-25,19:32,19,Monday,1,August,8,12.969728,77.743915,Whitefield,Robbery,7,Sunny,Very High
2026-03-07,08:38,8,Saturday,6,March,3,12.924142,77.615329,BTM Layout,Missing Person,3,Sunny,High
2026-05-18,23:58,23,Monday,1,May,5,13.037748,77.595549,Hebbal,Cyber Crime,4,Partly Cloudy,Medium
2026-08-08,01:02,1,Saturday,6,August,8,12.96588,77.698889,Marathahalli,Burglary,4,Cloudy,Medium
2026-08-06,09:19,9,Thursday,4,August,8,12.913363,77.477877,Kengeri,Assault,4,Rainy,High
2025-04-14,14:41,14,Monday,1,April,4,13.010073,77.564617,Malleshwaram,Vehicle Theft,6,Sunny,Low
2025-11-30,04:14,4,Sunday,7,November,11,12.926765,77.540466,Banashankari,Theft,8,Rainy,Medium
2026-08-10,21:43,21,Monday,1,August,8,12.961909,77.697277,Marathahalli,Burglary,7,Partly Cloudy,Medium
2026-01-26,15:05,15,Monday,1,January,1,12.850875,77.66186,Electronic City,Cyber Crime,5,Cloudy,Low
2026-05-12,11:46,11,Tuesday,2,May,5,12.933047,77.540609,Banashankari,Fraud,4,Cloudy,Medium
2026-07-18,14:04,14,Saturday,6,July,7,12.969741,77.742035,Whitefield,Missing Person,6,Rainy,Medium
2025-12-12,01:41,1,Friday,5,December,12,12.91287,77.631695,HSR Layout,Vehicle Theft,8,Rainy,Very High
2026-11-27,18:25,18,Friday,5,November,11,12.926903,77.589042,Jayanagar,Missing Person,5,Rainy,High
2026-12-28,19:02,19,Monday,1,December,12,12.93052,77.59981,Jayanagar,Cyber Crime,6,Partly Cloudy,High
2026-10-27,12:04,12,Tuesday,2,October,10,12.922355,77.553262,Banashankari,Burglary,3,Sunny,Low
2026-08-19,19:39,19,Wednesday,3,August,8,12.961797,77.692204,Marathahalli,Missing Person,4,Rainy,Low
2025-11-01,14:17,14,Saturday,6,November,11,12.912538,77.641759,HSR Layout,Vehicle Theft,6,Rainy,Low
2026-09-11,23:47,23,Friday,5,September,9,12.978405,77.637849,Indiranagar,Assault,2,Cloudy,Medium
2025-09-05,21:18,21,Friday,5,September,9,12.90789,77.641817,HSR Layout,Accident,6,Rainy,High
2026-10-05,03:49,3,Monday,1,October,10,12.931378,77.627115,Koramangala,Vehicle Theft,8,Cloudy,Low
2026-11-16,19:09,19,Monday,1,November,11,13.033236,77.592631,Hebbal,Robbery,5,Cloudy,High
2025-02-04,23:40,23,Tuesday,2,February,2,12.850158,77.657748,Electronic City,Missing Person,7,Sunny,Low
2025-04-01,18:45,18,Tuesday,2,April,4,12.962611,77.743261,Whitefield,Accident,4,Sunny,High
2026-08-24,12:25,12,Monday,1,August,8,12.84794,77.666552,Electronic City,Accident,3,Partly Cloudy,Low
2025-09-02,06:41,6,Tuesday,2,September,9,12.849484,77.658851,Electronic City,Vehicle Theft,1,Cloudy,Medium
2025-10-01,06:27,6,Wednesday,3,October,10,13.03305,77.599607,Hebbal,Assault,3,Sunny,Low
2025-01-28,05:56,5,Tuesday,2,January,1,12.930757,77.62885,Koramangala,Missing Person,8,Rainy,Very High
2025-11-24,13:41,13,Monday,1,November,11,12.913997,77.603785,BTM Layout,Vandalism,6,Cloudy,High
2026-10-27,21:06,21,Tuesday,2,October,10,12.991135,77.552067,Rajajinagar,Assault,5,Sunny,Low
2026-06-26,10:22,10,Friday,5,June,6,12.931387,77.597674,Jayanagar,Robbery,3,Sunny,High
2026-06-05,20:45,20,Friday,5,June,6,12.919136,77.487273,Kengeri,Fraud,7,Sunny,Medium
2025-12-26,22:13,22,Friday,5,December,12,12.918225,77.542973,Banashankari,Assault,5,Sunny,Low
2025-04-11,14:07,14,Friday,5,April,4,12.916542,77.484224,Kengeri,Accident,5,Cloudy,Medium
2025-05-07,13:40,13,Wednesday,3,May,5,12.941528,77.573498,Basavanagudi,Theft,6,Rainy,Low
2026-07-14,13:04,13,Tuesday,2,July,7,12.972446,77.643573,Indiranagar,Cyber Crime,5,Sunny,Medium
2025-04-24,23:26,23,Thursday,4,April,4,12.970598,77.64771,Indiranagar,Missing Person,6,Cloudy,Low
2026-01-08,11:13,11,Thursday,4,January,1,12.98783,77.552881,Rajajinagar,Missing Person,3,Cloudy,Medium
2025-08-10,12:50,12,Sunday,7,August,8,12.922971,77.551286,Banashankari,Assault,6,Rainy,Very High
2025-12-18,09:57,9,Thursday,4,December,12,12.985966,77.556845,Rajajinagar,Vandalism,7,Partly Cloudy,High
2025-06-12,10:52,10,Thursday,4,June,6,13.032126,77.547134,Yeshwanthpur,Vehicle Theft,3,Cloudy,Low
2026-03-01,18:42,18,Sunday,7,March,3,13.031593,77.546984,Yeshwanthpur,Fraud,6,Rainy,High
2026-09-28,17:06,17,Monday,1,September,9,12.918153,77.614613,BTM Layout,Assault,3,Sunny,High
2026-12-25,20:50,20,Friday,5,December,12,12.994781,77.557693,Rajajinagar,Theft,6,Cloudy,High
2026-06-06,08:39,8,Saturday,6,June,6,12.977066,77.756204,Whitefield,Accident,5,Rainy,High
2025-11-08,14:40,14,Saturday,6,November,11,13.036974,77.597866,Hebbal,Accident,6,Sunny,Low
2026-08-22,05:26,5,Saturday,6,August,8,12.845751,77.663232,Electronic City,Missing Person,8,Sunny,High
2025-11-17,14:26,14,Monday,1,November,11,13.043633,77.604684,Hebbal,Fraud,5,Rainy,Medium
2025-05-04,18:10,18,Sunday,7,May,5,12.920645,77.602422,BTM Layout,Assault,6,Sunny,Low
2025-07-21,15:49,15,Monday,1,July,7,12.909535,77.615204,BTM Layout,Vandalism,5,Rainy,High
2025-06-22,10:13,10,Sunday,7,June,6,12.916435,77.613685,BTM Layout,Cyber Crime,3,Cloudy,Medium
2026-08-24,18:06,18,Monday,1,August,8,13.035967,77.598109,Hebbal,Missing Person,3,Partly Cloudy,Low
2025-08-08,05:19,5,Friday,5,August,8,12.964732,77.750099,Whitefield,Vehicle Theft,3,Sunny,Medium
2025-03-12,07:36,7,Wednesday,3,March,3,13.025654,77.541153,Yeshwanthpur,Assault,9,Sunny,Very High
2026-10-31,13:05,13,Saturday,6,October,10,12.995931,77.577806,Malleshwaram,Robbery,9,Sunny,Very High
2026-05-27,11:15,11,Wednesday,3,May,5,12.846573,77.655315,Electronic City,Theft,5,Sunny,Medium
2025-06-12,07:09,7,Thursday,4,June,6,12.971398,77.748692,Whitefield,Vandalism,8,Rainy,Very High
2025-11-15,14:35,14,Saturday,6,November,11,12.915399,77.609364,BTM Layout,Accident,5,Cloudy,Low
2026-06-22,12:28,12,Monday,1,June,6,12.96993,77.750232,Whitefield,Vandalism,2,Rainy,Medium
2025-11-16,08:33,8,Sunday,7,November,11,12.93686,77.570605,Basavanagudi,Theft,7,Rainy,Low
2025-06-05,16:55,16,Thursday,4,June,6,12.946345,77.578705,Basavanagudi,Burglary,7,Cloudy,Very High
2026-09-11,17:00,17,Friday,5,September,9,12.937906,77.573579,Basavanagudi,Robbery,5,Sunny,Medium
2026-03-09,18:25,18,Monday,1,March,3,12.908628,77.614402,BTM Layout,Accident,2,Rainy,High
2026-05-01,19:51,19,Friday,5,May,5,12.989463,77.550548,Rajajinagar,Vandalism,4,Rainy,Medium
2026-03-21,18:41,18,Saturday,6,March,3,12.915762,77.476737,Kengeri,Robbery,4,Cloudy,Medium
2026-12-10,04:32,4,Thursday,4,December,12,12.929982,77.632131,Koramangala,Theft,9,Rainy,Low
2025-07-13,10:03,10,Sunday,7,July,7,12.98345,77.633188,Indiranagar,Robbery,3,Partly Cloudy,Low
2025-12-27,18:43,18,Saturday,6,December,12,13.006507,77.575202,Malleshwaram,Burglary,5,Sunny,Medium
2026-05-06,20:35,20,Wednesday,3,May,5,12.928245,77.552557,Banashankari,Vandalism,7,Sunny,Medium
2025-07-23,11:43,11,Wednesday,3,July,7,12.921891,77.602738,BTM Layout,Fraud,9,Partly Cloudy,Very High
2026-06-17,16:10,16,Wednesday,3,June,6,12.923931,77.545547,Banashankari,Fraud,4,Partly Cloudy,High
2025-06-09,08:23,8,Monday,1,June,6,12.95541,77.694857,Marathahalli,Accident,4,Sunny,Very High
2026-07-26,02:11,2,Sunday,7,July,7,12.929944,77.54861,Banashankari,Missing Person,6,Cloudy,Low
2026-02-03,07:02,7,Tuesday,2,February,2,13.033891,77.59056,Hebbal,Accident,3,Rainy,Low
2026-10-21,06:46,6,Wednesday,3,October,10,13.011191,77.567376,Malleshwaram,Vehicle Theft,6,Partly Cloudy,Very High
2026-03-04,08:31,8,Wednesday,3,March,3,12.988071,77.551949,Rajajinagar,Fraud,3,Rainy,Medium
2025-08-14,06:08,6,Thursday,4,August,8,12.973375,77.743685,Whitefield,Burglary,5,Partly Cloudy,High
2025-08-03,22:03,22,Sunday,7,August,8,12.967369,77.748988,Whitefield,Fraud,11,Partly Cloudy,Low
2025-10-02,20:51,20,Thursday,4,October,10,13.025336,77.54772,Yeshwanthpur,Vehicle Theft,7,Partly Cloudy,Low
2026-03-25,08:18,8,Wednesday,3,March,3,12.978095,77.640513,Indiranagar,Burglary,4,Cloudy,Low
2026-08-20,23:30,23,Thursday,4,August,8,12.916785,77.644002,HSR Layout,Vandalism,7,Cloudy,Medium
2026-10-24,06:08,6,Saturday,6,October,10,12.908339,77.64131,HSR Layout,Cyber Crime,4,Cloudy,High
2025-07-18,11:20,11,Friday,5,July,7,12.954156,77.69525,Marathahalli,Cyber Crime,6,Partly Cloudy,Very High
2026-03-27,04:41,4,Friday,5,March,3,12.918882,77.607057,BTM Layout,Theft,8,Cloudy,Very High
2025-06-05,00:47,0,Thursday,4,June,6,13.032427,77.536345,Yeshwanthpur,Vandalism,4,Partly Cloudy,Low
2026-04-06,15:32,15,Monday,1,April,4,13.009942,77.572437,Malleshwaram,Cyber Crime,2,Cloudy,Medium
2025-01-30,12:03,12,Thursday,4,January,1,12.974588,77.742535,Whitefield,Accident,4,Cloudy,Medium
2025-11-21,14:14,14,Friday,5,November,11,12.911064,77.633228,HSR Layout,Vandalism,1,Cloudy,Low
2026-10-21,17:21,17,Wednesday,3,October,10,12.96608,77.698074,Marathahalli,Accident,7,Partly Cloudy,High
2025-07-07,18:14,18,Monday,1,July,7,12.913249,77.61667,BTM Layout,Fraud,6,Cloudy,Very High
2025-12-14,23:27,23,Sunday,7,December,12,13.038794,77.598671,Hebbal,Robbery,8,Rainy,Medium
2026-12-28,20:40,20,Monday,1,December,12,12.918502,77.641729,HSR Layout,Missing Person,8,Rainy,High
2026-12-02,11:06,11,Wednesday,3,December,12,12.932174,77.543155,Banashankari,Theft,3,Rainy,Medium
2026-11-20,12:25,12,Friday,5,November,11,12.934899,77.631948,Koramangala,Assault,6,Partly Cloudy,High
2025-07-12,18:53,18,Saturday,6,July,7,12.907451,77.635425,HSR Layout,Assault,4,Partly Cloudy,Low
2026-04-02,05:06,5,Thursday,4,April,4,12.98806,77.553228,Rajajinagar,Vandalism,8,Rainy,Very High
2026-08-31,02:05,2,Monday,1,August,8,13.040013,77.599198,Hebbal,Fraud,11,Sunny,High
2025-04-02,19:01,19,Wednesday,3,April,4,13.043576,77.594849,Hebbal,Fraud,4,Cloudy,Medium
2026-10-16,02:58,2,Friday,5,October,10,12.912511,77.612587,BTM Layout,Accident,5,Sunny,High
2026-04-04,01:38,1,Saturday,6,April,4,12.930731,77.621625,Koramangala,Cyber Crime,6,Rainy,Low
2025-12-04,13:13,13,Thursday,4,December,12,12.973324,77.637076,Indiranagar,Cyber Crime,6,Partly Cloudy,High
2025-05-05,10:38,10,Monday,1,May,5,12.920693,77.479931,Kengeri,Cyber Crime,4,Partly Cloudy,Medium
2025-07-15,14:38,14,Tuesday,2,July,7,12.844108,77.656338,Electronic City,Assault,5,Partly Cloudy,Low
2026-03-25,10:58,10,Wednesday,3,March,3,13.034881,77.53819,Yeshwanthpur,Missing Person,1,Cloudy,Medium
2026-04-05,06:00,6,Sunday,7,April,4,12.956102,77.69127,Marathahalli,Missing Person,4,Sunny,Medium
2025-03-19,01:07,1,Wednesday,3,March,3,13.037191,77.594226,Hebbal,Vandalism,6,Partly Cloudy,High
2026-12-05,15:21,15,Saturday,6,December,12,12.978413,77.643958,Indiranagar,Cyber Crime,3,Cloudy,High
2025-12-03,04:02,4,Wednesday,3,December,12,13.035519,77.603784,Hebbal,Accident,9,Sunny,Medium
2025-07-06,06:40,6,Sunday,7,July,7,13.029012,77.597756,Hebbal,Fraud,10,Cloudy,High
2026-11-21,00:18,0,Saturday,6,November,11,12.911129,77.613633,BTM Layout,Missing Person,6,Partly Cloudy,Very High
2025-12-16,02:14,2,Tuesday,2,December,12,12.969604,77.754981,Whitefield,Fraud,7,Sunny,High
2026-03-31,04:42,4,Tuesday,2,March,3,12.849147,77.658923,Electronic City,Vehicle Theft,6,Cloudy,Medium
2026-02-20,16:24,16,Friday,5,February,2,12.849743,77.655139,Electronic City,Robbery,8,Partly Cloudy,Very High
2026-09-13,18:47,18,Sunday,7,September,9,12.841868,77.657946,Electronic City,Theft,4,Partly Cloudy,Medium
2025-09-19,04:41,4,Friday,5,September,9,12.909405,77.605325,BTM Layout,Vandalism,5,Rainy,Medium
2025-08-08,20:00,20,Friday,5,August,8,12.993875,77.553985,Rajajinagar,Vehicle Theft,9,Sunny,Low
2025-09-29,10:12,10,Monday,1,September,9,12.91211,77.60484,BTM Layout,Burglary,4,Sunny,Medium
2025-02-07,06:06,6,Friday,5,February,2,13.033383,77.59675,Hebbal,Robbery,5,Partly Cloudy,Medium
2025-06-22,02:59,2,Sunday,7,June,6,13.040148,77.59688,Hebbal,Burglary,7,Partly Cloudy,Low
2025-10-08,07:07,7,Wednesday,3,October,10,12.976285,77.635516,Indiranagar,Assault,9,Rainy,Very High
2026-03-11,08:19,8,Wednesday,3,March,3,12.931694,77.596427,Jayanagar,Fraud,4,Sunny,Very High
2025-07-27,06:01,6,Sunday,7,July,7,12.848001,77.663513,Electronic City,Theft,9,Partly Cloudy,Very High
2026-09-30,12:19,12,Wednesday,3,September,9,12.985689,77.643576,Indiranagar,Assault,4,Sunny,Very High
2025-09-06,14:42,14,Saturday,6,September,9,12.987312,77.549217,Rajajinagar,Vehicle Theft,7,Partly Cloudy,Medium
2025-09-08,03:48,3,Monday,1,September,9,12.967572,77.755814,Whitefield,Accident,7,Partly Cloudy,Very High
2025-12-14,09:12,9,Sunday,7,December,12,12.8414,77.663841,Electronic City,Vandalism,6,Rainy,High
2025-07-09,06:43,6,Wednesday,3,July,7,12.912256,77.603516,BTM Layout,Cyber Crime,3,Partly Cloudy,Low
2026-02-08,07:50,7,Sunday,7,February,2,13.036614,77.597343,Hebbal,Burglary,8,Rainy,High
2026-10-08,20:18,20,Thursday,4,October,10,12.944764,77.582906,Basavanagudi,Missing Person,2,Rainy,Low
2026-10-04,08:05,8,Sunday,7,October,10,12.920678,77.483338,Kengeri,Missing Person,6,Rainy,High
2025-12-08,08:02,8,Monday,1,December,12,12.912449,77.612467,BTM Layout,Assault,5,Sunny,Low
2025-10-27,01:47,1,Monday,1,October,10,12.936702,77.578116,Basavanagudi,Theft,12,Sunny,Very High
2025-05-09,00:27,0,Friday,5,May,5,12.989983,77.549469,Rajajinagar,Burglary,8,Sunny,Medium
2026-07-24,05:45,5,Friday,5,July,7,12.954705,77.700879,Marathahalli,Robbery,6,Sunny,High
2026-03-16,20:21,20,Monday,1,March,3,13.004488,77.566178,Malleshwaram,Accident,5,Sunny,Medium
2025-01-31,13:47,13,Friday,5,January,1,12.976323,77.634586,Indiranagar,Fraud,7,Partly Cloudy,High
2025-06-15,10:25,10,Sunday,7,June,6,12.925053,77.538981,Banashankari,Theft,6,Cloudy,High
2025-02-05,01:14,1,Wednesday,3,February,2,13.004057,77.572785,Malleshwaram,Burglary,9,Partly Cloudy,Very High
2025-02-27,19:26,19,Thursday,4,February,2,12.962982,77.696952,Marathahalli,Assault,4,Cloudy,Medium
2026-08-23,15:07,15,Sunday,7,August,8,12.93737,77.61708,Koramangala,Missing Person,6,Cloudy,Medium
2025-11-25,00:41,0,Tuesday,2,November,11,12.929275,77.587045,Jayanagar,Vandalism,7,Partly Cloudy,Very High
2026-02-03,20:09,20,Tuesday,2,February,2,12.913803,77.477256,Kengeri,Cyber Crime,9,Partly Cloudy,Very High
2025-11-09,12:34,12,Sunday,7,November,11,12.915933,77.476879,Kengeri,Vehicle Theft,6,Partly Cloudy,Very High
2026-08-30,06:32,6,Sunday,7,August,8,12.903612,77.646359,HSR Layout,Assault,7,Partly Cloudy,Very High
2026-05-30,14:57,14,Saturday,6,May,5,12.929986,77.539167,Banashankari,Cyber Crime,5,Rainy,Very High
2025-04-01,19:08,19,Tuesday,2,April,4,12.985432,77.561747,Rajajinagar,Burglary,6,Rainy,Very High
2025-03-22,16:40,16,Saturday,6,March,3,13.039166,77.601927,Hebbal,Missing Person,3,Partly Cloudy,Medium
2025-05-08,02:58,2,Thursday,4,May,5,12.962738,77.74218,Whitefield,Fraud,10,Rainy,Very High
2026-11-28,13:14,13,Saturday,6,November,11,12.917116,77.617992,BTM Layout,Missing Person,3,Partly Cloudy,Low
2025-03-25,20:13,20,Tuesday,2,March,3,12.974326,77.637919,Indiranagar,Assault,4,Rainy,Medium
2026-11-15,06:06,6,Sunday,7,November,11,12.964308,77.69863,Marathahalli,Vehicle Theft,3,Sunny,High
2026-06-01,00:57,0,Monday,1,June,6,12.939491,77.624894,Koramangala,Missing Person,6,Cloudy,Low
2025-05-16,14:28,14,Friday,5,May,5,12.992588,77.548579,Rajajinagar,Missing Person,3,Cloudy,High
2025-04-12,23:52,23,Saturday,6,April,4,12.948816,77.569166,Basavanagudi,Missing Person,8,Cloudy,Very High
2025-04-14,02:19,2,Monday,1,April,4,12.936638,77.62501,Koramangala,Accident,8,Sunny,High
2025-05-12,12:58,12,Monday,1,May,5,12.961869,77.697869,Marathahalli,Assault,1,Cloudy,Medium
2025-12-30,08:07,8,Tuesday,2,December,12,12.920018,77.477512,Kengeri,Cyber Crime,5,Rainy,Medium
2026-11-18,12:46,12,Wednesday,3,November,11,12.967893,77.748575,Whitefield,Fraud,5,Rainy,Medium
2026-10-10,09:33,9,Saturday,6,October,10,12.84476,77.660893,Electronic City,Missing Person,6,Sunny,Low
2025-01-21,13:16,13,Tuesday,2,January,1,12.946913,77.570267,Basavanagudi,Theft,3,Rainy,High
2026-02-12,02:05,2,Thursday,4,February,2,12.982032,77.64659,Indiranagar,Accident,7,Rainy,Medium
2025-06-02,12:17,12,Monday,1,June,6,13.032447,77.591905,Hebbal,Cyber Crime,5,Partly Cloudy,Low
2026-07-11,13:27,13,Saturday,6,July,7,12.851764,77.656217,Electronic City,Vandalism,6,Cloudy,High
2025-12-28,14:38,14,Sunday,7,December,12,13.000596,77.565592,Malleshwaram,Fraud,6,Cloudy,Medium
2026-10-11,03:07,3,Sunday,7,October,10,12.919733,77.479944,Kengeri,Cyber Crime,7,Rainy,Low
2025-10-05,04:39,4,Sunday,7,October,10,12.909789,77.642155,HSR Layout,Cyber Crime,13,Partly Cloudy,Very High
2025-06-26,02:29,2,Thursday,4,June,6,12.96122,77.692199,Marathahalli,Cyber Crime,5,Partly Cloudy,Very High
2026-12-12,05:24,5,Saturday,6,December,12,12.981115,77.648655,Indiranagar,Burglary,5,Partly Cloudy,Medium
2025-09-17,14:23,14,Wednesday,3,September,9,12.91857,77.64402,HSR Layout,Cyber Crime,2,Rainy,Medium
2025-12-30,20:53,20,Tuesday,2,December,12,13.029362,77.604053,Hebbal,Burglary,6,Partly Cloudy,Medium
2025-12-06,09:44,9,Saturday,6,December,12,12.837312,77.653537,Electronic City,Vehicle Theft,6,Sunny,Medium
2026-06-06,12:52,12,Saturday,6,June,6,12.990362,77.557511,Rajajinagar,Accident,4,Rainy,High
2025-05-30,01:26,1,Friday,5,May,5,12.962188,77.742371,Whitefield,Vandalism,7,Partly Cloudy,Medium
2026-01-21,19:15,19,Wednesday,3,January,1,12.915454,77.482156,Kengeri,Accident,6,Cloudy,High
2026-10-22,15:12,15,Thursday,4,October,10,12.962487,77.756762,Whitefield,Robbery,7,Partly Cloudy,High
2025-07-08,22:43,22,Tuesday,2,July,7,12.9223,77.601531,Jayanagar,Robbery,8,Rainy,Very High
2026-09-04,20:35,20,Friday,5,September,9,13.001773,77.563831,Malleshwaram,Vehicle Theft,6,Partly Cloudy,Low
2026-03-17,20:57,20,Tuesday,2,March,3,13.001651,77.566199,Malleshwaram,Missing Person,9,Rainy,High
2026-10-23,10:50,10,Friday,5,October,10,12.982858,77.648136,Indiranagar,Fraud,3,Rainy,Low
2025-09-15,15:47,15,Monday,1,September,9,12.906187,77.6391,HSR Layout,Accident,6,Partly Cloudy,High
2025-08-15,06:38,6,Friday,5,August,8,12.919846,77.485369,Kengeri,Robbery,6,Cloudy,High
2025-06-15,01:53,1,Sunday,7,June,6,12.923231,77.594028,Jayanagar,Burglary,10,Partly Cloudy,High
2025-03-09,22:27,22,Sunday,7,March,3,13.033424,77.595801,Hebbal,Vehicle Theft,11,Partly Cloudy,Low
2025-10-16,17:26,17,Thursday,4,October,10,12.997791,77.54888,Rajajinagar,Cyber Crime,2,Sunny,Low
2026-01-10,10:55,10,Saturday,6,January,1,12.945908,77.576462,Basavanagudi,Cyber Crime,3,Partly Cloudy,Low
2026-07-05,11:48,11,Sunday,7,July,7,12.848929,77.665068,Electronic City,Missing Person,4,Partly Cloudy,Very High
2025-01-12,13:56,13,Sunday,7,January,1,12.916268,77.60284,BTM Layout,Vandalism,7,Partly Cloudy,Medium
2026-11-03,16:59,16,Tuesday,2,November,11,12.952697,77.693268,Marathahalli,Cyber Crime,8,Sunny,Very High
2026-01-03,23:52,23,Saturday,6,January,1,12.921994,77.476694,Kengeri,Theft,11,Rainy,Very High
2026-06-08,10:24,10,Monday,1,June,6,12.972849,77.750354,Whitefield,Accident,2,Sunny,Low
2026-04-17,20:31,20,Friday,5,April,4,12.932837,77.595817,Jayanagar,Vehicle Theft,6,Cloudy,High
2025-05-28,08:12,8,Wednesday,3,May,5,12.908872,77.612341,BTM Layout,Vandalism,1,Cloudy,Medium
2026-10-01,21:31,21,Thursday,4,October,10,12.915974,77.608619,BTM Layout,Vandalism,5,Sunny,Medium
2026-03-09,08:01,8,Monday,1,March,3,12.972049,77.751791,Whitefield,Burglary,3,Partly Cloudy,High
2026-03-04,15:43,15,Wednesday,3,March,3,13.035207,77.595152,Hebbal,Assault,5,Sunny,Very High
2025-07-24,14:18,14,Thursday,4,July,7,12.932409,77.549021,Banashankari,Theft,7,Partly Cloudy,High
2025-11-12,10:39,10,Wednesday,3,November,11,13.032563,77.541503,Yeshwanthpur,Burglary,5,Cloudy,Low
2025-02-02,12:35,12,Sunday,7,February,2,13.043294,77.595531,Hebbal,Burglary,2,Sunny,Low
2025-10-13,14:33,14,Monday,1,October,10,12.93178,77.629217,Koramangala,Burglary,4,Rainy,Low
2026-03-08,13:26,13,Sunday,7,March,3,13.002392,77.56494,Malleshwaram,Assault,6,Partly Cloudy,High
2025-08-01,22:47,22,Friday,5,August,8,12.913848,77.612752,BTM Layout,Cyber Crime,6,Partly Cloudy,High
2025-04-27,11:05,11,Sunday,7,April,4,13.035106,77.599186,Hebbal,Burglary,1,Partly Cloudy,Medium
2025-12-15,00:47,0,Monday,1,December,12,12.929538,77.546858,Banashankari,Theft,8,Rainy,Low
2026-05-02,07:50,7,Saturday,6,May,5,12.936172,77.620935,Koramangala,Fraud,6,Partly Cloudy,Medium
2026-02-06,18:25,18,Friday,5,February,2,12.983789,77.554988,Rajajinagar,Vehicle Theft,8,Sunny,High
2026-07-26,08:34,8,Sunday,7,July,7,12.985565,77.561245,Rajajinagar,Accident,7,Rainy,Medium
2026-09-06,05:16,5,Sunday,7,September,9,12.918092,77.554744,Banashankari,Vehicle Theft,11,Partly Cloudy,Very High
2025-09-01,10:43,10,Monday,1,September,9,12.908325,77.634146,HSR Layout,Theft,6,Rainy,Medium
2026-11-03,04:11,4,Tuesday,2,November,11,12.975907,77.744174,Whitefield,Cyber Crime,3,Rainy,Medium
2026-12-24,14:59,14,Thursday,4,December,12,12.996249,77.549444,Rajajinagar,Assault,2,Rainy,High
2025-12-26,13:33,13,Friday,5,December,12,13.032256,77.593088,Hebbal,Vandalism,1,Sunny,Medium
2025-06-06,15:36,15,Friday,5,June,6,12.938828,77.578638,Basavanagudi,Accident,3,Sunny,Low
2025-02-19,00:43,0,Wednesday,3,February,2,12.965992,77.701036,Marathahalli,Robbery,3,Partly Cloudy,Low
2025-11-12,09:19,9,Wednesday,3,November,11,12.97687,77.742338,Whitefield,Fraud,6,Rainy,Medium
2025-06-03,01:33,1,Tuesday,2,June,6,12.83758,77.662619,Electronic City,Fraud,7,Rainy,High
2026-02-13,07:49,7,Friday,5,February,2,12.965613,77.755057,Whitefield,Vehicle Theft,2,Rainy,Medium
2026-07-29,21:34,21,Wednesday,3,July,7,12.946177,77.582224,Basavanagudi,Burglary,7,Rainy,Medium
2025-07-17,05:05,5,Thursday,4,July,7,12.997739,77.571343,Malleshwaram,Cyber Crime,5,Rainy,Very High
2025-09-21,20:47,20,Sunday,7,September,9,12.921785,77.546172,Banashankari,Accident,5,Cloudy,Medium
2025-07-12,23:10,23,Saturday,6,July,7,12.968058,77.755967,Whitefield,Assault,3,Partly Cloudy,Medium
2025-03-07,20:15,20,Friday,5,March,3,12.922477,77.611113,BTM Layout,Missing Person,4,Rainy,High
2025-04-21,19:58,19,Monday,1,April,4,12.984307,77.556055,Rajajinagar,Cyber Crime,6,Rainy,High
2025-01-07,08:00,8,Tuesday,2,January,1,12.844026,77.658073,Electronic City,Theft,9,Sunny,Very High
2026-05-23,21:45,21,Saturday,6,May,5,12.84016,77.654847,Electronic City,Fraud,10,Cloudy,Low
2026-11-05,08:31,8,Thursday,4,November,11,12.930886,77.625942,Koramangala,Cyber Crime,4,Rainy,Low
2026-01-15,02:58,2,Thursday,4,January,1,12.975255,77.747057,Whitefield,Vehicle Theft,4,Partly Cloudy,Low
2025-11-20,16:11,16,Thursday,4,November,11,13.032397,77.540855,Yeshwanthpur,Burglary,1,Partly Cloudy,Low
2026-04-13,07:31,7,Monday,1,April,4,12.938773,77.57297,Basavanagudi,Accident,2,Partly Cloudy,Medium
